id,cluster_id
ENSG00000227232,0
ENSG00000237683,0
ENSG00000241860,0
ENSG00000228463,0
ENSG00000225972,0
ENSG00000225630,0
ENSG00000237973,0
ENSG00000229344,0
ENSG00000248527,0
ENSG00000198744,0
ENSG00000228327,0
ENSG00000237491,0
ENSG00000230092,0
ENSG00000177757,0
ENSG00000225880,0
ENSG00000228794,7
ENSG00000188976,4
ENSG00000187961,0
ENSG00000188290,0
ENSG00000187608,0
ENSG00000188157,5
ENSG00000217801,0
ENSG00000131591,0
ENSG00000078808,0
ENSG00000176022,0
ENSG00000160087,0
ENSG00000230415,0
ENSG00000162572,0
ENSG00000131584,0
ENSG00000169972,0
ENSG00000127054,0
ENSG00000240731,0
ENSG00000224051,0
ENSG00000169962,0
ENSG00000107404,0
ENSG00000162576,0
ENSG00000175756,4
ENSG00000221978,0
ENSG00000224870,0
ENSG00000242485,0
ENSG00000272455,0
ENSG00000235098,0
ENSG00000205116,3
ENSG00000179403,3
ENSG00000160072,0
ENSG00000197785,0
ENSG00000205090,7
ENSG00000160075,4
ENSG00000228594,5
ENSG00000272106,0
ENSG00000197530,0
ENSG00000248333,0
ENSG00000189339,0
ENSG00000269737,0
ENSG00000269227,0
ENSG00000008128,0
ENSG00000227775,0
ENSG00000215790,0
ENSG00000268575,0
ENSG00000008130,0
ENSG00000078369,0
ENSG00000231050,0
ENSG00000142609,0
ENSG00000233542,0
ENSG00000187730,7
ENSG00000067606,4
ENSG00000271806,1
ENSG00000182873,0
ENSG00000162585,0
ENSG00000157933,5
ENSG00000116151,0
ENSG00000269896,0
ENSG00000272420,0
ENSG00000157916,0
ENSG00000157911,0
ENSG00000149527,0
ENSG00000224387,0
ENSG00000229393,0
ENSG00000157881,0
ENSG00000197921,0
ENSG00000157873,0
ENSG00000157870,0
ENSG00000215912,0
ENSG00000177133,0
ENSG00000142611,6
ENSG00000272235,0
ENSG00000162591,0
ENSG00000158109,2
ENSG00000116213,0
ENSG00000227372,0
ENSG00000130764,4
ENSG00000116198,3
ENSG00000169598,0
ENSG00000198912,0
ENSG00000196581,0
ENSG00000131697,1
