gene,RF_repeat1,RF_repeat2,RF_repeat3,XGB_repeat1,XGB_repeat2,XGB_repeat3,near_impact_cnt
ENSG00000137936,1.0,3.0,3.0,3.0,4.0,2.0,16.0
ENSG00000198342,2.0,2.0,2.0,2.0,2.0,2.0,12.0
ENSG00000134769,1.0,2.0,1.0,2.0,2.0,2.0,10.0
ENSG00000197857,1.0,1.0,1.0,2.0,2.0,3.0,10.0
ENSG00000157833,1.0,1.0,1.0,2.0,2.0,2.0,9.0
ENSG00000184260,1.0,1.0,1.0,2.0,2.0,1.0,8.0
ENSG00000113790,0.0,1.0,1.0,1.0,3.0,2.0,8.0
ENSG00000162621,1.0,1.0,1.0,2.0,1.0,2.0,8.0
ENSG00000153446,1.0,1.0,1.0,1.0,3.0,1.0,8.0
ENSG00000137285,1.0,1.0,2.0,1.0,2.0,1.0,8.0
ENSG00000102359,0.0,1.0,0.0,2.0,2.0,2.0,7.0
ENSG00000164104,2.0,1.0,1.0,1.0,1.0,1.0,7.0
ENSG00000204257,1.0,1.0,1.0,1.0,2.0,1.0,7.0
ENSG00000139144,1.0,1.0,1.0,2.0,1.0,1.0,7.0
ENSG00000136802,1.0,0.0,1.0,2.0,1.0,2.0,7.0
ENSG00000131941,0.0,0.0,1.0,3.0,1.0,2.0,7.0
ENSG00000111405,1.0,1.0,1.0,1.0,2.0,1.0,7.0
ENSG00000113369,2.0,1.0,1.0,1.0,1.0,1.0,7.0
ENSG00000137573,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000213240,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000177674,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000121858,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000244405,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000071575,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000094963,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000112414,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000168268,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000022556,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000126709,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000128274,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000147434,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000189056,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000185201,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000188133,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000170381,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000104760,1.0,1.0,1.0,0.0,2.0,1.0,6.0
ENSG00000076248,0.0,1.0,1.0,1.0,2.0,1.0,6.0
ENSG00000176681,0.0,1.0,1.0,2.0,1.0,1.0,6.0
ENSG00000162496,0.0,1.0,0.0,2.0,2.0,1.0,6.0
ENSG00000056487,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000115594,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000074410,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000173376,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000187608,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000143036,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000172640,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000160606,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000116793,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000120279,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000163749,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000008394,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000143437,1.0,1.0,1.0,1.0,1.0,1.0,6.0
ENSG00000140563,1.0,1.0,1.0,1.0,1.0,1.0,6.0
