id,louvain_label
ENSG00000227232,1
ENSG00000237683,2
ENSG00000241860,1
ENSG00000228463,5
ENSG00000225972,6
ENSG00000225630,6
ENSG00000237973,6
ENSG00000229344,1
ENSG00000248527,6
ENSG00000198744,0
ENSG00000228327,2
ENSG00000237491,2
ENSG00000230092,0
ENSG00000177757,2
ENSG00000225880,2
ENSG00000228794,1
ENSG00000188976,1
ENSG00000187961,1
ENSG00000188290,1
ENSG00000187608,4
ENSG00000188157,1
ENSG00000217801,2
ENSG00000131591,1
ENSG00000078808,1
ENSG00000176022,1
ENSG00000160087,1
ENSG00000230415,1
ENSG00000162572,1
ENSG00000131584,1
ENSG00000169972,1
ENSG00000127054,1
ENSG00000240731,2
ENSG00000224051,1
ENSG00000169962,1
ENSG00000107404,1
ENSG00000162576,1
ENSG00000175756,1
ENSG00000221978,3
ENSG00000224870,3
ENSG00000242485,0
ENSG00000272455,3
ENSG00000235098,3
ENSG00000205116,3
ENSG00000179403,3
ENSG00000160072,1
ENSG00000197785,1
ENSG00000205090,1
ENSG00000160075,1
ENSG00000228594,1
ENSG00000272106,1
ENSG00000197530,1
ENSG00000248333,1
ENSG00000189339,1
ENSG00000269737,2
ENSG00000269227,2
ENSG00000008128,2
ENSG00000227775,2
ENSG00000215790,1
ENSG00000268575,2
ENSG00000008130,1
ENSG00000078369,1
ENSG00000231050,1
ENSG00000142609,1
ENSG00000233542,1
ENSG00000187730,1
ENSG00000067606,1
ENSG00000271806,2
ENSG00000182873,2
ENSG00000162585,1
ENSG00000157933,1
ENSG00000116151,1
ENSG00000269896,1
ENSG00000272420,2
ENSG00000157916,3
ENSG00000157911,3
ENSG00000149527,1
ENSG00000224387,1
ENSG00000229393,1
ENSG00000157881,1
ENSG00000197921,1
ENSG00000157873,1
ENSG00000157870,1
ENSG00000215912,1
ENSG00000177133,4
ENSG00000142611,4
ENSG00000272235,4
ENSG00000162591,1
ENSG00000158109,1
ENSG00000116213,1
ENSG00000227372,3
ENSG00000130764,0
ENSG00000116198,3
ENSG00000169598,2
ENSG00000198912,5
ENSG00000196581,1
ENSG00000131697,2
ENSG00000069424,1
ENSG00000116254,1
ENSG00000116251,0
ENSG00000158286,1
ENSG00000116237,0
ENSG00000158292,1
ENSG00000097021,1
ENSG00000215788,2
ENSG00000171680,1
ENSG00000162408,1
ENSG00000229519,2
ENSG00000204859,1
ENSG00000162413,1
ENSG00000116273,1
ENSG00000041988,1
ENSG00000007923,1
ENSG00000171735,0
ENSG00000270171,2
ENSG00000049245,3
ENSG00000269925,2
ENSG00000049246,3
ENSG00000236266,4
ENSG00000116288,0
ENSG00000116285,4
ENSG00000162426,1
ENSG00000142599,1
ENSG00000232912,2
ENSG00000224315,2
ENSG00000226545,2
ENSG00000228423,2
ENSG00000074800,0
ENSG00000142583,4
ENSG00000049239,3
ENSG00000171621,3
ENSG00000171612,4
ENSG00000188807,1
ENSG00000171608,1
ENSG00000171603,1
ENSG00000178585,0
ENSG00000162441,3
ENSG00000173614,3
ENSG00000162444,3
ENSG00000130939,3
ENSG00000054523,3
ENSG00000199562,2
ENSG00000142657,0
ENSG00000175279,1
ENSG00000241563,1
ENSG00000160049,3
ENSG00000142655,1
ENSG00000130940,4
ENSG00000120948,2
ENSG00000009724,2
ENSG00000271895,2
ENSG00000116649,1
ENSG00000171824,1
ENSG00000198793,1
ENSG00000225602,2
ENSG00000171819,2
ENSG00000120942,3
ENSG00000204624,1
ENSG00000116661,1
ENSG00000132879,1
ENSG00000116663,1
ENSG00000116670,4
ENSG00000162490,1
ENSG00000177674,4
ENSG00000177000,1
ENSG00000011021,1
ENSG00000116685,3
ENSG00000083444,1
ENSG00000116688,1
ENSG00000116691,1
ENSG00000028137,4
ENSG00000048707,0
ENSG00000162496,4
ENSG00000162493,4
ENSG00000116731,1
ENSG00000231606,2
ENSG00000234593,2
ENSG00000189337,1
ENSG00000235829,2
ENSG00000171729,4
ENSG00000142621,1
ENSG00000142634,1
ENSG00000215704,2
ENSG00000132906,1
ENSG00000116138,0
ENSG00000116771,0
ENSG00000197312,2
ENSG00000116786,1
ENSG00000162461,2
ENSG00000162458,4
ENSG00000233954,0
ENSG00000179743,3
ENSG00000065526,1
ENSG00000116809,1
ENSG00000183888,4
ENSG00000185519,1
ENSG00000142627,4
ENSG00000204377,1
ENSG00000132881,1
ENSG00000037637,2
ENSG00000055070,3
ENSG00000157191,3
